,pos_from_command_x,pos_from_command_y,pos_from_command_z,pos_from_AR_x,pos_from_AR_y,pos_from_AR_z,xy_length_from_command,xy_length_from_AR
0,46.913,16.076,21.537,50.358,16.866,16.365,49.59100065,53.10734525
1,47.722,-11.774,17.118,50.277,-12.151,11.99,49.15298933,51.72449642
2,47.88,-1.881,14.015,50.035,-2.237,9.02,47.91693397,50.08498172
3,47.198,16.812,13.276,49.538,17.308,7.879,50.10283972,52.4745682
4,50.315,5.422,13.274,52.866,5.01,7.521,50.60629713,53.10286297
5,45.746,-3.701,18.999,48.209,-3.83,14.257,45.89546728,48.3608993
6,46.938,-1.118,12.836,48.944,-1.596,7.925,46.95131274,48.97001483
7,46.229,19.795,13.13,48.582,20.563,7.961,50.28879066,52.75459879
8,50.501,-0.34,10.999,52.692,-0.57,5.867,50.50214452,52.69508292
9,45.761,14.009,12.537,47.899,13.849,7.352,47.8573004,49.86089652
10,50.57,-3.061,8.096,52.766,-3.139,3.979,50.6625564,52.85928563
11,50.073,3.716,18.701,53.383,3.223,13.15,50.21069592,53.48020585
12,49.742,-9.364,12.628,52.001,-9.961,6.832,50.6157195,52.94644013
13,46.243,-7.409,17.524,48.514,-8.023,12.311,46.83276983,49.17292675
14,45.488,6.92,29.391,49.817,6.439,25.248,46.01135234,50.23140661
15,47.344,18.381,15.584,49.92,19.564,10.282,50.78696188,53.61675574
16,47.276,9.169,11.171,49.126,8.951,5.833,48.15693862,49.93480026
17,47.433,14.205,23.146,51.119,14.974,17.591,49.51435665,53.26699576
18,49.831,-10.629,18.469,52.87,-11.326,12.392,50.95197937,54.06954019
19,45.331,-13.42,13.142,47.342,-14.007,8.205,47.2757439,49.37064931
20,49.165,15.914,9.362,51.586,16.684,3.97,51.67642229,54.21689084
21,47.094,-0.073,21.455,50.101,-0.585,16.297,47.09405658,50.10441523
22,46.018,-12.97,26.491,49.618,-14.088,21.308,47.81084839,51.57923679
23,46.37,11.591,11.331,48.345,11.149,6.087,47.79673818,49.61390154
24,51.131,7.293,12.935,53.936,7.396,6.833,51.64849475,54.44072843
25,49.567,0.361,22.585,53.203,0.124,16.756,49.56831458,53.2031445
26,46.88,-9.403,16.019,49.044,-9.928,10.658,47.81370943,50.03877616
27,49.513,-2.677,20.525,52.674,-2.362,14.97,49.58531535,52.72693164
28,48.971,-2.439,14.276,51.266,-2.619,8.869,49.03169956,51.33285417
29,50.533,9.24,8.589,53.068,9.132,3.907,51.37082527,53.84799019
30,32.619,-8.515,22.018,33.781,-7.944,18.615,33.71208071,34.7024941
31,36.962,3.234,25.368,38.688,3.421,21.457,37.1032101,38.83895705
32,37.4,-2.242,10.999,38.116,-1.787,7.736,37.46713979,38.15786714
33,20.487,6.71,28.902,22.12,6.308,26.227,21.55785864,23.00185349
34,26.304,8.232,24.685,27.452,8.6,22.039,27.56204347,28.76755645
35,33.288,16.536,16.379,34.403,16.697,13.21,37.16894187,38.24076644
36,20.461,-15.406,24.712,21.765,-14.922,21.687,25.61244535,26.38903767
37,25.311,-14.861,25.742,26.889,-14.774,22.382,29.35125282,30.68043997
38,37.408,-16.211,24.582,39.229,-15.694,20.042,40.76953501,42.25181744
39,33.389,-3.393,7.864,34.501,-3.083,5.759,33.56095604,34.63847413
40,26.121,-8.83,21.397,27.207,-8.735,18.418,27.57309451,28.57483288
41,22.916,-14.196,16.537,23.868,-13.083,14.21,26.95680753,27.21849211
42,35.763,-4.381,19.198,36.941,-4.335,15.505,36.03033902,37.19448489
43,32.145,13.384,26.691,33.923,13.422,23.026,34.82000116,36.48177645
44,30.654,7.815,13.336,31.404,7.885,10.957,31.63450554,32.37876528
45,39.775,-0.704,8.139,41.241,-0.419,5.705,39.78122976,41.24312842
46,34.557,-14.984,18.671,35.821,-14.153,14.89,37.66572056,38.51560009
47,24.094,-6.602,18.621,24.753,-5.582,16.352,24.98213842,25.37458833
48,32.718,-6.324,9.531,33.188,-5.095,7.002,33.32357274,33.57681297
49,35.569,-0.46,20.883,36.792,-0.218,17.468,35.57197438,36.79264584
50,33.611,7.226,14.698,34.31,7.479,11.871,34.37898191,35.11568796
51,31.16,18.44,9.651,32.156,18.211,6.853,36.20744675,36.95468654
52,36.707,-19.443,26.234,38.789,-19.248,21.688,41.53834491,43.30210185
53,21.046,6.978,10.917,22.386,6.949,9.959,22.17265433,23.43974396
54,26.983,0.901,14.195,27.587,1.291,12.232,26.99803863,27.6171912
55,30.607,-15.717,15.487,31.579,-14.516,12.436,34.40657696,34.75553908
56,36.556,8.915,23.591,38.304,8.852,19.778,37.62736187,39.31353863
57,27.29,-0.122,29.989,29.142,-0.407,26.672,27.2902727,29.14484196
58,27.594,1.085,13.23,28.11,1.372,11.149,27.61532294,28.14346254
59,35.775,18.909,13.023,36.934,18.648,9.327,40.46481071,41.37472973
60,39.081,8.789,20.889,40.606,8.887,16.916,40.05709777,41.56712649
61,21.962,-12.407,17.706,22.822,-11.319,15.357,25.22425604,25.47476094
62,22.903,-19.668,13.567,24.138,-18.487,10.954,30.18903167,30.40414796
63,32.279,-19.95,9.424,33.293,-18.936,5.82,37.94649313,38.30138307
64,34.137,-4.305,13.079,34.948,-4.002,9.943,34.40737994,35.17639419
65,27.237,12.413,19.514,28.297,12.198,16.859,29.93220236,30.81414307
66,35.667,-15.27,28.938,38.008,-15.458,24.441,38.79829621,41.03118117
67,31.166,-8.317,11.504,31.93,-8,8.639,32.25665892,32.91693941
68,24.114,8.325,27.426,25.567,8.297,24.607,25.51059821,26.87957771
69,30.55,-3.672,29.21,32.265,-3.604,25.605,30.76988924,32.46565941
70,32.239,1.399,9.179,32.697,1.882,6.861,32.26934028,32.75111804
71,25.37,-2.575,25.002,26.504,-2.488,22.165,25.50034363,26.62052141
72,36.681,-2.316,22.697,38.108,-2.181,18.908,36.75404219,38.17036056
73,30.363,3.373,26.645,31.844,3.465,23.363,30.54977738,32.03196155
74,24.291,7.286,25.515,25.428,7.154,22.617,25.36017502,26.41520206
75,31.255,-18.195,7.672,32.673,-17.222,5.524,36.16535704,36.93402514
76,21.575,-3.707,15.527,22.904,-3.456,14.181,21.89115059,23.16327162
77,33.511,9.869,27.712,35.586,9.769,24.163,34.93399894,36.9025305
78,35.707,18.174,12.895,36.804,17.861,9.209,40.06599712,40.90904224
79,26.186,13.229,14.078,27.105,13.064,12.058,29.33791126,30.08901994
80,34.977,-3.54,26.689,36.682,-3.293,22.937,35.15568416,36.82951226
81,26.544,14.918,25.085,27.817,15.092,22.11,30.44882034,31.64733722
82,35.164,-3.551,22.885,36.375,-3.032,19.5,35.34284223,36.50114586
83,31.492,17.233,24.022,33.024,17.415,20.463,35.89877927,37.33452559
84,31.855,7.65,15.155,32.632,7.673,12.319,32.76070092,33.52196821
85,31.672,14.158,28.391,33.478,14.745,24.743,34.69242782,36.58129999
86,31.023,4.129,9.869,31.537,4.526,7.698,31.29656802,31.86011684
87,36.065,8.709,10.283,36.831,8.763,7.217,37.10162943,37.85911687
88,26.155,14.076,12.495,27.041,13.793,10.385,29.70215145,30.3556013
89,24.038,-8.401,17.506,24.777,-7.893,15.101,25.46374373,26.00383006
90,21.072,7.873,17.563,22.342,7.892,16.252,22.49473967,23.69490722
91,26.118,-11.282,22.77,27.223,-10.523,19.779,28.4505439,29.1860456
92,32.378,0.218,8.463,32.963,0.682,6.147,32.37873389,32.97005449
93,34.062,-14.873,11.946,34.905,-13.63,8.611,37.16753924,37.47180173
94,22.258,12.518,26.387,23.433,12.649,23.66,25.53661857,26.62898214
95,28.593,0.11,22.106,29.501,0.412,19.077,28.59321159,29.50387678
96,35.343,-19.732,14.567,36.466,-18.541,10.492,40.47813574,40.9088968
97,31.12,8.218,23.164,32.311,8.386,19.887,32.18679736,33.3815176
98,36.009,0.596,13.108,36.524,1.139,9.867,36.01393198,36.54175553
99,34.034,-3.879,12.243,34.844,-3.837,9.101,34.25433983,35.05462744
100,39.388,18.275,13.349,40.547,18.132,9.05,43.42107978,44.41653558
101,21.494,4.872,7.572,22.86,5.209,6.677,22.03924726,23.44596513
102,30.394,13.291,28.446,32.209,13.358,24.837,33.17296967,34.86912452
103,20.916,2.367,10.033,22.317,2.716,9.197,21.049507,22.48166242
104,23.433,5.991,23.176,24.224,6.287,20.497,24.18672301,25.02655679
105,20.097,17.15,17.293,21.202,16.869,15.395,26.41991501,27.09405774
106,26.781,1.431,22.717,27.78,1.353,19.89,26.81920435,27.81292881
107,20.739,-0.458,28.69,22.287,-0.441,25.782,20.74405662,22.29136268
108,30.549,5.703,9.005,31.104,5.945,6.768,31.07676962,31.66704661
109,25.886,8.236,11.767,26.599,8.281,10.002,27.16462207,27.85824406
110,35.608,-10.363,20.538,36.795,-9.849,16.671,37.08532638,38.09035083
111,21.829,18.406,19.209,23.024,18.121,16.955,28.55321483,29.29974773
112,34.148,-19.218,11.269,35.169,-17.734,7.629,39.18440287,39.38722276
113,36.171,19.112,26.867,38.212,19.727,22.625,40.90977615,43.00362163
114,31.341,5.458,25.484,32.793,5.676,22.234,31.81270257,33.28059232
115,36.996,-19.607,18.512,38.226,-18.373,14.01,41.87049635,42.41219406
116,25.125,11.985,25.503,26.372,11.896,22.645,27.83713078,28.93090389
117,34.824,9.757,27.213,36.67,10.09,23.292,36.16503871,38.03284107
118,31.465,19.865,25.584,33.294,20.011,21.746,37.21107967,38.84495536
119,35.995,4.857,16.138,36.81,4.977,12.656,36.32121245,37.14494083
120,20.237,-12.399,19.983,21.094,-11.537,17.442,23.73333879,24.04286183
121,29.131,-18.849,29.413,31.188,-18.477,25.303,34.69726159,36.25039135
122,25.795,-19.636,21.809,27.236,-18.983,18.187,32.41842873,33.19870457
123,33.38,-10.483,27.501,35.195,-10.656,23.427,34.98739329,36.77279376
124,37.236,16.624,12.629,38.237,16.357,8.743,40.77838977,41.5886958
125,37.703,-7.689,8.651,38.917,-6.944,5.739,38.47904534,39.53165852
126,32.093,19.172,27.408,34.153,19.597,23.722,37.38350215,39.37600561
127,30.752,18.884,11.676,31.972,18.472,8.737,36.08726867,36.92456591
128,20.552,-5.324,27.676,21.762,-5.253,24.422,21.23039519,22.38701974
129,25.217,-19.153,22.271,26.68,-18.565,18.799,31.66598329,32.50356327
130,21.102,-7.871,8.124,22.586,-7.069,7.007,22.52214566,23.66639299
131,36.162,14.561,19.764,37.548,14.424,15.843,38.98349606,40.22317839
132,34.715,0.477,25.324,36.37,0.332,21.631,34.71827694,36.37151528
133,25.048,-0.772,19.069,25.632,-0.196,16.756,25.05989401,25.63274936
134,24.812,8.206,20.261,25.598,7.884,17.671,26.13376705,26.78460491
135,32.15,2.618,16.734,32.839,2.895,13.819,32.25641679,32.96636082
136,27.573,-8.972,23.33,28.789,-9.007,20.015,28.99598443,30.1650886
137,26.968,-18.091,13.471,28.157,-16.748,10.513,32.4739481,32.76144308
138,22.908,-17.797,12.504,23.922,-16.668,10.014,29.00878613,29.15620531
139,32.148,-8.387,25.398,33.488,-7.728,21.825,33.22402253,34.36812663
140,31.488,5.49,25.261,32.845,5.722,21.98,31.96301369,33.33969569
141,30.688,-5.709,13.836,31.283,-5.104,11.239,31.21451625,31.6966387
142,39.819,-0.469,16.481,40.914,-0.543,12.321,39.82176191,40.91760312
143,25.322,9.717,29.446,26.736,9.984,26.178,27.12238509,28.53934043
144,22.22,10.305,20.114,22.983,10.097,17.902,24.49329347,25.1031412
145,24.762,-8.866,24.271,25.863,-8.766,21.04,26.30138019,27.3081952
146,24.8,13.642,27.165,26.154,13.581,24.013,28.30449017,29.4699046
147,22.426,-4.446,17.719,23.352,-4.114,15.926,22.86246688,23.71161951
148,28.876,-18.243,27.563,30.751,-18.12,23.531,34.15597203,35.69255386
149,20.305,-5.078,16.727,21.547,-4.567,15.515,20.93033944,22.02568269
150,33.439,-8.173,26.121,34.809,-7.391,22.423,34.4233155,35.58501598
151,27.683,-11.564,16.029,28.39,-9.98,13.445,30.00124306,30.09306398
152,20.058,7.161,29.896,21.804,6.715,26.843,21.29796434,22.81459272
153,29.796,-1.653,16.23,30.338,-1.324,13.547,29.84181672,30.36687702
154,37.832,-16.772,10.958,38.855,-16.106,6.775,41.38309085,42.06083999
155,33.281,-13.445,14.284,34.104,-12.682,10.775,35.89419154,36.38565569
156,29.714,-19.127,28.839,31.639,-18.88,24.638,35.337854,36.84400522
157,36.94,4.505,26.103,38.677,4.826,22.105,37.21368868,38.97692401
158,21.316,-19.741,24.761,22.861,-19.515,21.467,29.05303662,30.05762043
159,20.937,-17.002,15.797,21.934,-15.404,13.473,26.9708356,26.80267845
160,27.386,0.682,7.753,28.123,1.09,6.205,27.39449069,28.14411535
161,25.948,-11.501,21.461,26.777,-10.363,18.509,28.38259511,28.71235793
162,35.317,8.919,18.402,36.319,8.95,14.914,36.42580198,37.4055111
163,20.12,-0.999,25.998,21.222,-0.68,23.004,20.14478595,21.23289156
164,28.928,12.235,12.705,29.788,12.052,10.319,31.40898612,32.13371513
165,27.925,-6.459,25.363,29.06,-6.348,22.04,28.66224531,29.74526356
166,20.845,9.231,10.313,22.398,9.293,9.418,22.7974864,24.2493351
167,39.62,15.167,18.949,41.232,15.024,14.506,42.42384104,43.88391961
168,24.26,-15.015,18.551,25.278,-13.761,15.835,28.53064712,28.78093822
169,21.954,19.901,22.239,23.155,19.945,19.653,29.63153585,30.56071089
170,30.299,7.945,20.234,31.334,7.64,17.076,31.32335273,32.2519636
171,38.359,-11.943,28.404,40.463,-11.882,23.816,40.17521786,42.17151044
172,33.725,15.953,28.194,35.732,16.53,24.476,37.30782537,39.37025176
173,22.663,5.07,10.566,23.964,5.417,9.609,23.22318817,24.56862196
174,22.793,-17.019,20.213,23.846,-15.514,17.351,28.44586455,28.4484782
175,25.213,18.424,17.946,26.506,17.873,15.305,31.22721802,31.96892499
176,26.926,-3.245,8.94,27.6,-2.92,7.053,27.1208315,27.75403394
177,21.21,-19.563,16.269,22.481,-18.217,13.671,28.85437695,28.93534949
178,25.494,-5.845,18.817,26.114,-5.108,16.215,26.15545949,26.6088831
179,29.777,3.557,28.701,31.57,3.428,25.226,29.9886975,31.75556776
180,45.462,-3.175,24.912,47.81,-3.024,19.827,45.57273383,47.9055391
182,43.767,2.43,15.024,44.799,2.712,10.456,43.83440645,44.88101319
183,40.912,-0.442,20.918,42.45,-0.371,16.527,40.91438754,42.45162118
184,48.256,-7.435,18.346,50.215,-6.821,13.435,48.82541102,50.67615086
185,44.498,15.163,15.257,45.479,15.502,9.835,47.01051556,48.04842812
186,44.107,-6.406,29.386,46.968,5.113,27.412,44.56976873,47.24548437
